Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0283477	SF2	AI520355	53443	53443	protein_coding
FBgn0266141	asRNA:CR44847		19834859	19834859	lncRNA
FBgn0261671	tweek	EC256100	35026	35026	protein_coding
FBgn0028707	Mt2	DQ017438	34632	34632	protein_coding
FBgn0041239	Gr58a	L80124	117344	117344	protein_coding
FBgn0250824	CG33655	AY089252	8674081	8674081	protein_coding
FBgn0262428	mir-87		12798312	12798312	sncRNA
FBgn0029839	CG4660	BI629553	31542	31542	protein_coding
FBgn0266237	lncRNA:CR44932		19835430	19835430	lncRNA
FBgn0032251	Nse4		34434	34434	protein_coding
FBgn0262604	lncRNA:CR43130		19835275	19835275	lncRNA
FBgn0004106	Cdk1	S66801	34411	34411	protein_coding
FBgn0283451	br	S55612	44505	44505	protein_coding
FBgn0267447	asRNA:CR45797		26067128	26067128	lncRNA
FBgn0034712	Alp8	AI297654	37540	37540	protein_coding
FBgn0028699	Rh50	AI061881	38589	38589	protein_coding
FBgn0052264	CG32264	CZ478967	38438	38438	protein_coding
FBgn0033168	CG11145	AY089381	35663	35663	protein_coding
FBgn0036851	CG14082		40088	40088	protein_coding
FBgn0031617	CG15635		33665	33665	protein_coding
FBgn0038302	CG4210	AY119275	41832	41832	protein_coding
FBgn0264975	Nrg	X76244	31792	31792	protein_coding
FBgn0028497	CG3530	BT021258	37707	37707	protein_coding
FBgn0262967	lncRNA:CR43278		26067104	26067104	lncRNA
FBgn0261793	Trf2	AW942786	31773	31773	protein_coding
FBgn0033413	prel	AW943344	35969	35969	protein_coding
FBgn0024315	Picot	CZ480193	36865	36865	protein_coding
FBgn0033307	CG14752		35840	35840	protein_coding
FBgn0036279	Ncc69	AI513989	39410	39410	protein_coding
FBgn0000299	Col4a1	AW941995	33727	33727	protein_coding
FBgn0266861	lncRNA:CR45322		19836014	19836014	lncRNA
FBgn0266537	lncRNA:CR45098		19835884	19835884	lncRNA
FBgn0031141	CG1304	AY095196	33074	33074	protein_coding
FBgn0032503	CG16825	BF495744	34739	34739	protein_coding
FBgn0261291	CheA86a		3772145	3772145	protein_coding
FBgn0036703	CG7707	AI945460	39923	39923	protein_coding
FBgn0037675	HP1e		41108	41108	protein_coding
FBgn0266096	lncRNA:CR44833		19835614	19835614	lncRNA
FBgn0263212	CR43382				pseudogene
FBgn0003870	ttk	CZ477956	48317	48317	protein_coding
FBgn0041092	tai	AI296430	34242	34242	protein_coding
FBgn0036094	CG14153	AY089620	39208	39208	protein_coding
FBgn0010097	gammaTub37C	AF091265	35199	35199	protein_coding
FBgn0086025	snoRNA:Me28S-A2589c	AJ784341	5740524	5740524	sncRNA
FBgn0053702	CG33702		3771932	3771932	protein_coding
FBgn0028884	CG4892	AY089417	34949	34949	protein_coding
FBgn0033090	CG15909		35572	35572	protein_coding
FBgn0029968	Ir7g		31694	31694	protein_coding
FBgn0264081	CG43750		14462673	14462673	protein_coding
FBgn0015803	RtGEF	AY071298	35306	35306	protein_coding
FBgn0262185	mir-995		12798495	12798495	sncRNA
FBgn0034529	FAM21	CZ481577	37331	37331	protein_coding
FBgn0264485	lncRNA:CR43893		14462883	14462883	lncRNA
FBgn0263088	lncRNA:CR43356		12798164	12798164	lncRNA
FBgn0038659	EndoA	AQ254591	42265	42265	protein_coding
FBgn0267109	asRNA:CR45549		19835375	19835375	lncRNA
FBgn0085489	CG34460		5740316	5740316	protein_coding
FBgn0023000	mth	AF280580	38058	38058	protein_coding
FBgn0039617	DIP-gamma	AI108872	43417	43417	protein_coding
FBgn0032689	CG10413	AQ072950	35111	35111	protein_coding
FBgn0030161	CG15249		31924	31924	protein_coding
FBgn0038851	dmrt93B		42494	42494	protein_coding
FBgn0066293	CheB42b		2768717	2768717	protein_coding
FBgn0030770	CG13010		32643	32643	protein_coding
FBgn0051660	smog	AX254614	33690	33690	protein_coding
FBgn0262794	CG43175		12798449	12798449	protein_coding
FBgn0004567	slp2	AY071031	33608	33608	protein_coding
FBgn0039795	Spn100A	AY061542	43642	43642	protein_coding
FBgn0283521	lola	AB107322	44548	44548	protein_coding
FBgn0265986	lncRNA:CR44765		19835111	19835111	lncRNA
FBgn0265369	lncRNA:CR44310		19834825	19834825	lncRNA
FBgn0025833	CG8910	AY118400	36896	36896	protein_coding
FBgn0267554	asRNA:CR45894		26067222	26067222	lncRNA
FBgn0011569	can	AF346730	45432	45432	protein_coding
FBgn0260439	Pp2A-29B	M86442	2768940	2768940	protein_coding
FBgn0265158	CG44227		14462442	14462442	protein_coding
FBgn0039656	CG11951	CZ467138	43463	43463	protein_coding
FBgn0030570	CG12540	AY071419	32393	32393	protein_coding
FBgn0037539	CG10435	CZ470238	40948	40948	protein_coding
FBgn0032654	CG15147		35069	35069	protein_coding
FBgn0263600	DNApol-delta	BI373256	39746	39746	protein_coding
FBgn0003334	Scm	BI173702	41168	41168	protein_coding
FBgn0020765	Acp65Aa	U84750	38710	38710	protein_coding
FBgn0053459	CG33459	CX309603	2768847	2768847	protein_coding
FBgn0020389	Papss	CZ479795	40167	40167	protein_coding
FBgn0038246	CG14853	BI375487	41771	41771	protein_coding
FBgn0047178	CG32147	BI167553	251690	251690	protein_coding
FBgn0287213	CG46443				protein_coding
FBgn0004177	mts	X55199	45959	45959	protein_coding
FBgn0052413	CG32413		318018	318018	protein_coding
FBgn0266043	lncRNA:CR44808		19834736	19834736	lncRNA
FBgn0000287	salr	BT016144	34568	34568	protein_coding
FBgn0035582	CG13705	AY094894	38587	38587	protein_coding
FBgn0264344	CG43800		14462715	14462715	protein_coding
FBgn0267638	lncRNA:CR45976		26067303	26067303	lncRNA
FBgn0035299	CG11815		38263	38263	protein_coding
FBgn0050045	Cpr49Aa		246413	246413	protein_coding
FBgn0265955	lncRNA:CR44742		19834726	19834726	lncRNA
FBgn0000216	Brd	AY863992	39620	39620	protein_coding
FBgn0003733	tor	X15150	35717	35717	protein_coding
FBgn0001092	Gapdh2	AI945061	32545	32545	protein_coding
FBgn0087041	CG42231		7354432	7354432	protein_coding
FBgn0032395	Wdr81	AW941765	34616	34616	protein_coding
FBgn0026737	CG6171	AA538786	41872	41872	protein_coding
FBgn0003130	Poxn	M86927	36741	36741	protein_coding
FBgn0266255	lncRNA:CR44950		19835209	19835209	lncRNA
FBgn0035632	Ppat-Dpck	CZ478378	38647	38647	protein_coding
FBgn0034290	CG5773	BI616190	37053	37053	protein_coding
FBgn0051784	CG31784	CZ477066	318939	318939	protein_coding
FBgn0036515	AIMP2	AA941574	39690	39690	protein_coding
FBgn0030009	CG15336		31742	31742	protein_coding
FBgn0032801	CG10165	AW943654	35242	35242	protein_coding
FBgn0040794	CG13056		50267	50267	protein_coding
FBgn0263391	hts	CZ483758	37230	37230	protein_coding
FBgn0267940	lncRNA:CR46220		26067531	26067531	lncRNA
FBgn0250788	beta-Spec	AJ426975	32746	32746	protein_coding
FBgn0045064	bwa	BI229194	250736	250736	protein_coding
FBgn0031540	Pif1	AY058641	33567	33567	protein_coding
FBgn0030510	CG12177	AI403296	32326	32326	protein_coding
FBgn0265906	lncRNA:CR44695		19835101	19835101	lncRNA
FBgn0039773	CG2224	AY075309	43617	43617	protein_coding
FBgn0266434	CG45064		19836116	19836116	protein_coding
FBgn0034870	CG13559		37720	37720	protein_coding
FBgn0286869	lncRNA:CR46391				lncRNA
FBgn0003261	Rm62	AA263888	40739	40739	protein_coding
FBgn0260000	CG17570	AABU01002680	35410	35410	protein_coding
FBgn0265375	lncRNA:CR44316		19836074	19836074	lncRNA
FBgn0036809	CG12477	BH011450	40040	40040	protein_coding
FBgn0032804	CG13081		35245	35245	protein_coding
FBgn0002413	dco	CL610123	43673	43673	protein_coding
FBgn0266797	lncRNA:CR45259		19835966	19835966	lncRNA
FBgn0265168	asRNA:CR44237		14462469	14462469	lncRNA
FBgn0036180	Duba	AW941332	39302	39302	protein_coding
FBgn0266226	lncRNA:CR44921		19835507	19835507	lncRNA
FBgn0266803	lncRNA:CR45265		19836119	19836119	lncRNA
FBgn0052115	CG32115	BT001640	317862	317862	protein_coding
FBgn0039025	Usp12-46	CZ480575	42702	42702	protein_coding
FBgn0014010	Rab5	AI404857	33418	33418	protein_coding
FBgn0004191	snRNA:U2:34ABa	X04241	3772392	3772392	sncRNA
FBgn0035793	CG7546	AW943332	38844	38844	protein_coding
FBgn0031694	Cyp4ac2		33755	33755	protein_coding
FBgn0026722	drosha	AA201413	35747	35747	protein_coding
FBgn0037294	CG12590	BF502402	40618	40618	protein_coding
FBgn0023091	dimm	CW848258	35404	35404	protein_coding
FBgn0043025	Adgf-A2	AB025255	64879	64879	protein_coding
FBgn0051016	CG31016		326113	326113	protein_coding
FBgn0013679	mt:ND1	J01409	19893558	19893558	protein_coding
FBgn0031564	CG2816		33595	33595	protein_coding
FBgn0267463	asRNA:CR45813		26067143	26067143	lncRNA
FBgn0036731	CG6333	AI946189	39953	39953	protein_coding
FBgn0003885	alphaTub84D	AA816787	40904	40904	protein_coding
FBgn0085199	CG34170		5740214	5740214	protein_coding
FBgn0040993	CG17325	AY075530	50467	50467	protein_coding
FBgn0053490	CG33490	AI297011	2768970	2768970	protein_coding
FBgn0032967	CG1428	BF505153	35433	35433	protein_coding
FBgn0011669	Mst57Db	Z33647	43122	43122	protein_coding
FBgn0001941	ifc	CL610165	33836	33836	protein_coding
FBgn0051664	CG31664		33359	33359	protein_coding
FBgn0053987	lncRNA:CR33987	AW941044	3885608	3885608	lncRNA
FBgn0030017	CG2278	AA567796	31751	31751	protein_coding
FBgn0266768	lncRNA:CR45233		19835292	19835292	lncRNA
FBgn0053666	CG33666		3771730	3771730	protein_coding
FBgn0266703	lncRNA:CR45193		19836208	19836208	lncRNA
FBgn0267631	asRNA:CR45969		26067296	26067296	lncRNA
FBgn0011327	Uch-L5	AQ026303	39102	39102	protein_coding
FBgn0050421	Usp15-31	AI517159	37954	37954	protein_coding
FBgn0053341	CG33341	CX309465	2768683	2768683	protein_coding
FBgn0264978	Slh	BI168125	33434	33434	protein_coding
FBgn0005626	ple	U14395	38746	38746	protein_coding
FBgn0031111	Obp19c		33039	33039	protein_coding
FBgn0034628	Acox57D-p	AI532190	37445	37445	protein_coding
FBgn0034817	Art7	AY113590	37664	37664	protein_coding
FBgn0036659	CG9701	AW944038	39872	39872	protein_coding
FBgn0028647	CG11902	BI172926	43070	43070	protein_coding
FBgn0035661	CG10477	AI388575	38679	38679	protein_coding
FBgn0035817	CG7409	BI590294	38870	38870	protein_coding
FBgn0035407	Asciz	AQ073134	38381	38381	protein_coding
FBgn0053863	His3:CG33863		3772619	3772619	protein_coding
FBgn0263353	CG11000	CZ477680	40721	40721	protein_coding
FBgn0031538	CG3246	AY070645	33564	33564	protein_coding
FBgn0033187	PIG-G	AI107888	35685	35685	protein_coding
FBgn0051810	CG31810	AY094848	318955	318955	protein_coding
FBgn0022238	lolal	AA433288	44703	44703	protein_coding
FBgn0267461	lncRNA:CR45811		26067141	26067141	lncRNA
FBgn0031546	CG8851	AI947150	33575	33575	protein_coding
FBgn0037229	CG9766	AI534143	40539	40539	protein_coding
FBgn0031074	SkpE		32997	32997	protein_coding
FBgn0029504	CHES-1-like	AF171764	31678	31678	protein_coding
FBgn0265454	lncRNA:CR44354		19835520	19835520	lncRNA
FBgn0265833	CG44622		19835635	19835635	protein_coding
FBgn0259242	CG42340		7354472	7354472	protein_coding
FBgn0267105	CG45545		19835450	19835450	protein_coding
FBgn0266820	lncRNA:CR45282		19835860	19835860	lncRNA
FBgn0267624	lncRNA:CR45962		26067289	26067289	lncRNA
FBgn0029665	CG14270	AY089566	31319	31319	protein_coding
FBgn0261790	SmE	BI352589	34080	34080	protein_coding
FBgn0011659	Mlh1	AF068257	35796	35796	protein_coding
FBgn0032191	Snx17	AY061191	34354	34354	protein_coding
FBgn0039563	CG4951	AW940717	43355	43355	protein_coding
FBgn0267190	lncRNA:CR45630		19835773	19835773	lncRNA
FBgn0261547	Exn	AI063728	39900	39900	protein_coding
FBgn0039780	PH4alphaNE1	AW940651	43625	43625	protein_coding
FBgn0031093	CG9581	AI388541	33017	33017	protein_coding
FBgn0040375	CG13760	BZ748944	31237	31237	protein_coding
FBgn0053527	SIFa	AF376801	3346202	3346202	protein_coding
FBgn0039852	nyo	BI240960	43716	43716	protein_coding
FBgn0262620	lncRNA:CR43144		19834780	19834780	lncRNA
FBgn0034509	Obp57c	AI061995	37311	37311	protein_coding
FBgn0265607	beat-IIIa	AY052379	35035	35035	protein_coding
FBgn0022984	qkr58E-3	DQ017416	37559	37559	protein_coding
FBgn0265303	lncRNA:CR44276		19835206	19835206	lncRNA
FBgn0034399	CG15083	CZ479947	37175	37175	protein_coding
FBgn0032964	CG11630	BT016043	35429	35429	protein_coding
FBgn0034415	CG15116		37194	37194	protein_coding
FBgn0037328	RpL35A	AY071732	40654	40654	protein_coding
FBgn0022986	qkr58E-1	AI402027	37561	37561	protein_coding
FBgn0037123	CG14569	BI483066	40417	40417	protein_coding
FBgn0031773	Fbw5	AY118759	33854	33854	protein_coding
FBgn0033627	CG13204	BI639099	36227	36227	protein_coding
FBgn0010424	TpnC73F	BI172358	39916	39916	protein_coding
FBgn0261862	whd	BH759321	36109	36109	protein_coding
FBgn0003015	osk	AA802087	41066	41066	protein_coding
FBgn0053958	CG33958		37088	37088	protein_coding
FBgn0037448	CG15186	AY094885	40797	40797	protein_coding
FBgn0051128	CG31128	AY084097	318601	318601	protein_coding
FBgn0051867	CG31867	AI946959	261614	261614	protein_coding
FBgn0263201	scaRNA:MeU1b-A234	EU924798	12798388	12798388	sncRNA
FBgn0033216	CG1946		35720	35720	protein_coding
FBgn0262376	mir-219		12797923	12797923	sncRNA
FBgn0030545	CG11590	BI353754	32368	32368	protein_coding
FBgn0034907	CG5539	BF493480	37766	37766	protein_coding
FBgn0037654	CG11983	AI945027	41081	41081	protein_coding
FBgn0036499	CG7276		39668	39668	protein_coding
FBgn0036780	CG7330	CZ466216	40007	40007	protein_coding
FBgn0259714	DIP-epsilon	BT029045	7354433	7354433	protein_coding
FBgn0264828	lncRNA:CR44036		14462453	14462453	lncRNA
FBgn0036622	Agpat4	CZ488051	39819	39819	protein_coding
FBgn0034394	CG15096	CZ483428	37170	37170	protein_coding
FBgn0030960	Atg101	AW941458	32871	32871	protein_coding
FBgn0034724	babos	BH759559	37557	37557	protein_coding
FBgn0010282	TfIIFalpha	AA942112	40790	40790	protein_coding
FBgn0259483	Mob4	AA735369	35576	35576	protein_coding
FBgn0035916	GAPsec	AI455480	38987	38987	protein_coding
FBgn0265063	CG44174		14462489	14462489	protein_coding
FBgn0036075	CG8065	AI946842	39186	39186	protein_coding
FBgn0050278	CG30278	AY113209	246523	246523	protein_coding
FBgn0037131	CG14564		40425	40425	protein_coding
FBgn0019968	Khc-73	AI113435	36718	36718	protein_coding
FBgn0265510	asRNA:CR44372		19835460	19835460	lncRNA
FBgn0086695	hd	BI164366	40642	40642	protein_coding
FBgn0040795	CG13038		50268	50268	protein_coding
FBgn0262562	CG43102	CZ489478	42137	42137	protein_coding
FBgn0266741	asRNA:CR45214		19834913	19834913	lncRNA
FBgn0036403	CG6661	BE662259	39556	39556	protein_coding
FBgn0039368	CG17196		43112	43112	protein_coding
FBgn0083010	snoRNA:Psi28S-1135c	AJ629194	5740160	5740160	sncRNA
FBgn0030575	CG5321	AF171783	32399	32399	protein_coding
FBgn0026597	Axn	AW943432	43565	43565	protein_coding
FBgn0032168	CG13126	AY070900	34323	34323	protein_coding
FBgn0266904	lncRNA:CR45364		19834812	19834812	lncRNA
FBgn0262252	mir-965		12797869	12797869	sncRNA
FBgn0040965	lncRNA:CR13130	CZ471350	19836190	19836190	lncRNA
FBgn0038640	CG7706	AY069358	42244	42244	protein_coding
FBgn0037275	CG14655	CZ482243	40594	40594	protein_coding
FBgn0283426	lncRNA:acal		26067584	26067584	lncRNA
FBgn0267747	lncRNA:CR46078		26067395	26067395	lncRNA
FBgn0053100	eIF4EHP	CZ485595	326255	326255	protein_coding
FBgn0036565	CG5235	AY071594	39758	39758	protein_coding
FBgn0034499	Cpr56F	BI229157	37299	37299	protein_coding
FBgn0260964	Vmat	BT001631	3346192	3346192	protein_coding
FBgn0004050	z	L13045	31230	31230	protein_coding
FBgn0001965	Sos	AF459568	34790	34790	protein_coding
FBgn0034756	Cyp6d2	BT009998	37594	37594	protein_coding
FBgn0027558	Pgant3	AI402161	35627	35627	protein_coding
FBgn0029813	AgmNAT		31512	31512	protein_coding
FBgn0046885	Gr98d	AX058779	43309	43309	protein_coding
FBgn0036459	CG3349		39623	39623	protein_coding
FBgn0028691	Rpn9	AW942451	42802	42802	protein_coding
FBgn0036878	Cpr76Ba		40120	40120	protein_coding
FBgn0010452	trn	AY051439	39491	39491	protein_coding
FBgn0262541	CG43095		12798518	12798518	protein_coding
FBgn0050324	CG30324	AI947074	246540	246540	protein_coding
FBgn0259238	CG42336	BF499190	36205	36205	protein_coding
FBgn0037995	CG3809	AI945493	41476	41476	protein_coding
FBgn0267729	lncRNA:CR46060		26067377	26067377	lncRNA
FBgn0039748	CG15529	AY089656	43584	43584	protein_coding
FBgn0051337	CG31337	BI243238	318688	318688	protein_coding
FBgn0259187	Ir60d	CZ487706	7354402	7354402	protein_coding
FBgn0264431	lncRNA:CR43849		14462477	14462477	lncRNA
FBgn0002579	RpL36	AA816274	31009	31009	protein_coding
FBgn0283439	CG46281		26067078	26067078	protein_coding
FBgn0028563	sut1	AF178978	35774	35774	protein_coding
FBgn0039459	IntS12	AY070574	43227	43227	protein_coding
FBgn0034504	CG8929	AX093967	37306	37306	protein_coding
FBgn0267347	squ	AQ024988	2768920	2768920	protein_coding
FBgn0265927	lncRNA:CR44716		19836025	19836025	lncRNA
FBgn0036733	U4-U6-60K	AW944597	39955	39955	protein_coding
FBgn0020257	Ppa	BI161706	37602	37602	protein_coding
FBgn0039428	CG14237		43194	43194	protein_coding
FBgn0042098	CG18735		59137	59137	protein_coding
FBgn0083016	snoRNA:Psi18S-841d	AJ629261	5740302	5740302	sncRNA
FBgn0265879	lncRNA:CR44668		19835440	19835440	lncRNA
FBgn0267965	lncRNA:CR46245		26067555	26067555	lncRNA
FBgn0264489	CG43897	BI369667	39153	39153	protein_coding
FBgn0031855	meng	BI482416	33948	33948	protein_coding
FBgn0262362	CG43060		12798056	12798056	protein_coding
FBgn0036062	CG6685	BI484358	39172	39172	protein_coding
FBgn0042111	CG18766	AY051883	59150	59150	protein_coding
FBgn0036568	ATPsynbetaL	AY089257	39761	39761	protein_coding
FBgn0033440	CG10459		36000	36000	protein_coding
FBgn0263021	CG43316		36326	36326	protein_coding
FBgn0262527	nsl1	AA538779	41911	41911	protein_coding
FBgn0261854	aPKC	CZ479878	47594	47594	protein_coding
FBgn0002534	Lcp3	J01078	35819	35819	protein_coding
FBgn0265887	lncRNA:CR44676		19835468	19835468	lncRNA
FBgn0067312	CheB38a	AC004759	2768934	2768934	protein_coding
FBgn0037731	CG18542	AA538766	318260	318260	protein_coding
FBgn0261108	Atg13	AY061109	40998	40998	protein_coding
FBgn0031494	CG17219	AY071354	33515	33515	protein_coding
FBgn0053783	CG33783		3771958	3771958	protein_coding
FBgn0024361	Tsp2A	AI260717	31080	31080	protein_coding
FBgn0039152	Root	AY118691	42860	42860	protein_coding
FBgn0267732	lncRNA:CR46063		26067380	26067380	lncRNA
FBgn0029885	CG3224	AY071068	31600	31600	protein_coding
FBgn0051992	gw	CZ474334	43808	43808	protein_coding
FBgn0000053	Gart	X00041	33986	33986	protein_coding
FBgn0085267	CG34238		5740238	5740238	protein_coding
FBgn0022710	Ac13E	AW942525	32485	32485	protein_coding
FBgn0033095	chk	AW943057	35578	35578	protein_coding
FBgn0053802	His-Psi:CR33802				pseudogene
FBgn0053107	CG33107	AY119456	326256	326256	protein_coding
FBgn0003016	osp	CZ477844	34850	34850	protein_coding
FBgn0029851	CG14445		31556	31556	protein_coding
FBgn0266953	lncRNA:CR45404		19836127	19836127	lncRNA
FBgn0031888	Pvf2	AJ312312	33994	33994	protein_coding
FBgn0051053	nenya		318572	318572	protein_coding
FBgn0052110	CG32110		317858	317858	protein_coding
FBgn0015520	nonA-l	AA390491	42026	42026	protein_coding
FBgn0003996	w	X17551	31271	31271	protein_coding
FBgn0263338	lncRNA:CR43419		12797999	12797999	lncRNA
FBgn0034114	CG4282	AY069474	36825	36825	protein_coding
FBgn0002044	swm	BH854638	35235	35235	protein_coding
FBgn0033572	polyph		36161	36161	protein_coding
FBgn0085296	CG34267		5740365	5740365	protein_coding
FBgn0039790	CG2246	CZ468752	43637	43637	protein_coding
FBgn0266445	CG45075		19834937	19834937	protein_coding
FBgn0053875	His4:CG33875		41773	41773	protein_coding
FBgn0264726	lncRNA:CR43994		14462849	14462849	lncRNA
FBgn0032295	CG12299	AY051994	34483	34483	protein_coding
FBgn0039671	CG11470		43480	43480	protein_coding
FBgn0032485	CG9426	CL528077	34719	34719	protein_coding
FBgn0028690	Rpn5	AI402261	40717	40717	protein_coding
FBgn0040764	CG13230		50237	50237	protein_coding
FBgn0264392	lncRNA:CR43840		14462785	14462785	lncRNA
FBgn0033234	MFS12	AW941295	35745	35745	protein_coding
FBgn0037222	CG14642	BF494755	40532	40532	protein_coding
FBgn0085239	CG34210		5740490	5740490	protein_coding
FBgn0032787	CG10195	CZ489422	35228	35228	protein_coding
FBgn0286852	naz	BI212182	42204	42204	protein_coding
FBgn0263211	CR43381				pseudogene
FBgn0037934	CG6830	BI164334	41408	41408	protein_coding
FBgn0267351	Topors	CZ487733	37188	37188	protein_coding
FBgn0262895	lncRNA:CR43250		19835793	19835793	lncRNA
FBgn0030425	Nep6	AI402041	32234	32234	protein_coding
FBgn0266263	asRNA:CR44958		19836036	19836036	lncRNA
FBgn0030509	CG11162		32325	32325	protein_coding
FBgn0065053	snoRNA:Me18S-C1831	AJ544000	3772112	3772112	sncRNA
FBgn0267578	lncRNA:CR45918		26067246	26067246	lncRNA
FBgn0026577	CG8677	CZ488963	35397	35397	protein_coding
FBgn0264345	lncRNA:CR43801		14462710	14462710	lncRNA
FBgn0037004	CG17637		40275	40275	protein_coding
FBgn0265060	lncRNA:CR44171		19835461	19835461	lncRNA
FBgn0262716	Arp3	AQ073082	38898	38898	protein_coding
FBgn0050185	AIMP3	BI573706	246507	246507	protein_coding
FBgn0033609	Fbl6	AY050225	36201	36201	protein_coding
FBgn0266679	lncRNA:CR45169		19835654	19835654	lncRNA
FBgn0004687	Mlc-c	AY060455	31474	31474	protein_coding
FBgn0031721	CG14017	AI944476	33787	33787	protein_coding
FBgn0033484	CG2269	CZ479714	36056	36056	protein_coding
FBgn0037121	Rpb8	AA695646	40415	40415	protein_coding
FBgn0023177	Pp4-19C	AY113503	45031	45031	protein_coding
FBgn0037897	CG5270	AI258870	41370	41370	protein_coding
FBgn0038373	CG4546	AY118820	41922	41922	protein_coding
FBgn0033380	Phax	CZ483384	35926	35926	protein_coding
FBgn0267635	lncRNA:CR45973		26067300	26067300	lncRNA
FBgn0052057	dpr10	CZ488497	39180	39180	protein_coding
FBgn0045761	CHKov1	AI063779	43067	43067	protein_coding
FBgn0038739	CG4686	AI947071	42361	42361	protein_coding
FBgn0028844	CG15283	AE003410	50454	50454	protein_coding
FBgn0265050	asRNA:CR44165		14462551	14462551	lncRNA
FBgn0034488	Hacl	BH615125	37285	37285	protein_coding
FBgn0264869	lncRNA:CR44060		14462656	14462656	lncRNA
FBgn0063391	snoRNA:U14:30Eb	AJ543993	3772579	3772579	sncRNA
FBgn0063499	GstE10		37105	37105	protein_coding
FBgn0015615	SMC3	BI230730	32627	32627	protein_coding
FBgn0266565	asRNA:CR45104		19835836	19835836	lncRNA
FBgn0086698	frtz	AX093981	33349	33349	protein_coding
FBgn0039727	Vps13B	BG634336	43550	43550	protein_coding
FBgn0284410	lncRNA:TS2		36786375	36786375	lncRNA
FBgn0040506	ACXE	BT021341	53426	53426	protein_coding
FBgn0267474	lncRNA:CR45824		26067152	26067152	lncRNA
FBgn0033354	FANCI		35895	35895	protein_coding
FBgn0053815	His3:CG33815		3772619	3772619	protein_coding
FBgn0261625	GLS	AX154797	36396	36396	protein_coding
FBgn0039537	CG5590	AI513117	43325	43325	protein_coding
FBgn0036091	CG18628	AI947246	39205	39205	protein_coding
FBgn0010044	GstD8	M97702	48341	48341	protein_coding
FBgn0038465	Irc	CZ470960	42049	42049	protein_coding
FBgn0037178	CG12546	BI358483	40485	40485	protein_coding
FBgn0029134	Prosbeta5	AF217726	45269	45269	protein_coding
FBgn0027546	CG4766	AF145667	31533	31533	protein_coding
FBgn0263830	CG40486	CX309515	3355162	3355162	protein_coding
FBgn0036205	CG14131		39328	39328	protein_coding
FBgn0261630	CG42713		10178890	10178890	protein_coding
FBgn0266894	lncRNA:CR45354		19835421	19835421	lncRNA
FBgn0035978	UGP	CL868598	39065	39065	protein_coding
FBgn0266903	lncRNA:CR45363		19834826	19834826	lncRNA
FBgn0013750	Arf51F	L25064	36699	36699	protein_coding
FBgn0038126	CG8483	AI519425	41623	41623	protein_coding
FBgn0264838	asRNA:CR44046		14462528	14462528	lncRNA
FBgn0037019	Pex16	AY061286	40293	40293	protein_coding
FBgn0024556	mEFTu1	AY058493	44438	44438	protein_coding
FBgn0038576	Arp5	AY069531	42173	42173	protein_coding
FBgn0265786	lncRNA:CR44575		19835840	19835840	lncRNA
FBgn0036333	MICAL-like	AY051991	39475	39475	protein_coding
FBgn0038621	CG10864		42222	42222	protein_coding
FBgn0002569	Mal-A2	BI375376	35825	35825	protein_coding
FBgn0262733	Src64B	CZ470596	48973	48973	protein_coding
FBgn0040077	primo-1	AY089477	3772179	3772179	protein_coding
FBgn0033356	CG8229	AI945791	35898	35898	protein_coding
FBgn0264083	lncRNA:CR43752		14462725	14462725	lncRNA
FBgn0264002	MsR2	AF545042	38296	38296	protein_coding
FBgn0028686	Rpt3	AA695088	32047	32047	protein_coding
FBgn0267071	lncRNA:CR45515		19836165	19836165	lncRNA
FBgn0033204	CG2065	BI574428	35707	35707	protein_coding
FBgn0036589	CG13067	BI353770	39785	39785	protein_coding
FBgn0032127	CG13114		34272	34272	protein_coding
FBgn0263665	lncRNA:CR43656		14462419	14462419	lncRNA
FBgn0052588	CG32588	AI944948	318101	318101	protein_coding
FBgn0039744	Rpp14b		43578	43578	protein_coding
FBgn0035936	Tsp66E	CZ483516	39017	39017	protein_coding
FBgn0030089	AP-1gamma	CZ482298	31842	31842	protein_coding
FBgn0267010	lncRNA:CR45454		19835719	19835719	lncRNA
FBgn0286834	CG46388		39877389	39877389	protein_coding
FBgn0042133	CG18810		59171	59171	protein_coding
FBgn0086056	snoRNA:Me18S-A425	AJ784370	5740250	5740250	sncRNA
FBgn0266622	asRNA:CR45129		19836137	19836137	lncRNA
FBgn0050476	ave	BI484558	246638	246638	protein_coding
FBgn0069938	CG41106		3355167	3355167	protein_coding
FBgn0265141	Ir47b				pseudogene
FBgn0262020	CG42831		10178844	10178844	protein_coding
FBgn0034288	CG5084	AI257216	37051	37051	protein_coding
FBgn0267642	lncRNA:CR45980		26067307	26067307	lncRNA
FBgn0038586	CG7168	AW942886	42184	42184	protein_coding
FBgn0038602	CG7126		42202	42202	protein_coding
FBgn0036372	Abp1	AY119287	39520	39520	protein_coding
FBgn0052476	mthl14	BI235461	318046	318046	protein_coding
FBgn0085350	inaF-C		5740497	5740497	protein_coding
FBgn0037519	CG3014	AI944748	40922	40922	protein_coding
FBgn0085446	CG34417	CZ486114	31591	31591	protein_coding
FBgn0263086	CG43354		12798009	12798009	protein_coding
FBgn0025678	CaBP1	AA540573	34976	34976	protein_coding
FBgn0284221	Sema5c	AA141837	37066	37066	protein_coding
